sample_id,reference_text,asr_hypothesis,corrected_from_asr,corrected_from_reference,wer_asr_raw,wer_after_correction,wer_overcorrection,verdict
utt_id_test_000327,em sử dụng rất là dễ dàng dễ dàng và tiện lợi không vướng víu khi mà mình làm,em sử dụng rất dễ dàng dễ dàng và tiện lợi à không vướng víu khi mà mình là làm công tác.,em sử dụng rất dễ dàng dễ dàng và tiện lợi à không vướng víu khi mà mình là làm công tác.,"Em sử dụng rất là dễ dàng, dễ dàng và tiện lợi, không vướng víu khi mà mình làm.",0.2632,0.2632,0.0,khong_doi
utt_id_test_000357,là những trường hợp chống chỉ định sẽ không được đặt chống chỉ định là,thứ hai là những trường hợp chống chỉ định sẽ không được đặt à.,thứ hai là những trường hợp chống chỉ định sẽ không được đặt à.,là những trường hợp chống chỉ định sẽ không được đặt chống chỉ định là.,0.4,0.4,0.0,khong_doi
utt_id_test_000380,tao nghe bác sĩ tư vấn thì với vấn đề mà tôi gặp phải thì tôi nhất định là,nghe bác sỹ tư vấn thì với những vấn đề mà tôi gặp phải thì tôi quyết định là.,nghe bác sỹ tư vấn thì với những vấn đề mà tôi gặp phải thì tôi quyết định là.,Tôi nghe bác sĩ tư vấn thì với vấn đề mà tôi gặp phải thì tôi nhất định là.,0.2105,0.2105,0.0526,khong_doi
utt_id_test_000384,pháp nào không để mình có một cái lựa chọn tốt nhất chị nhé dạ vâng ạ xin cảm ơn bác sĩ và xin cảm ơn chương,nào không để mình có một cái lựa chọn tốt nhất chị nhé dạ vâng ạ xin cảm ơn bác sĩ và xin ái sáng.,nào không để mình có một cái lựa chọn tốt nhất chị nhé dạ vâng ạ xin cảm ơn bác sĩ và xin ái sáng.,"Pháp nào không để mình có một cái lựa chọn tốt nhất chị nhé. Dạ, vâng ạ, xin cảm ơn bác sĩ và xin cảm ơn chương.",0.1481,0.1481,0.0,khong_doi
utt_id_test_000397,cái quyết định phù hợp nhất đối với cái thể trạng của mỗi người bây giờ thì chúng tôi cũng đang nhận được một một,quy định phù hợp nhất đối với cái thể trạng của mỗi người bây giờ thì chúng tôi cũng đang nhận được buộc một cuộc kết nối.,quy định phù hợp nhất đối với cái thể trạng của mỗi người bây giờ thì chúng tôi cũng đang nhận được buộc một cuộc kết nối.,Cái quyết định phù hợp nhất đối với cái thể trạng của mỗi người bây giờ thì chúng tôi cũng đang nhận được một một.,0.24,0.24,0.0,khong_doi
utt_id_test_000414,ví dụ như là những cái thuốc đang điều trị lao này hiv này hoặc là những người bị bệnh,unk ví dụ như là những cái thuốc đang điều trị lao này hiv này hoặc là những người.,unk ví dụ như là những cái thuốc đang điều trị lao này hiv này hoặc là những người.,"Ví dụ như là những cái thuốc đang điều trị lao này, HIV này hoặc là những người bị bệnh.",0.15,0.15,0.0,khong_doi
utt_id_test_000419,đưa ra chỉ định với những trường hợp sau sinh đặc biệt sinh thường mà muốn áp dụng,và đưa ra chỉ định à với những trường hợp sau sinh đặc biệt là sinh thường mà muốn áp dụng.,và đưa ra chỉ định à với những trường hợp sau sinh đặc biệt là sinh thường mà muốn áp dụng.,"đưa ra chỉ định với những trường hợp sau sinh đặc biệt, sinh thường mà muốn áp dụng.",0.1667,0.1667,0.0,khong_doi
utt_id_test_000420,thường gặp khi các bạn muốn sử dụng biện pháp tránh thai đấy là nỗi băn khoăn của,rất là thường gặp khi các bạn muốn sử dụng biện pháp tránh thai đấy là nỗi băn khoăn của.,rất là thường gặp khi các bạn muốn sử dụng biện pháp tránh thai đấy là nỗi băn khoăn của.,"thường gặp khi các bạn muốn sử dụng biện pháp tránh thai, đấy là nỗi băn khoăn của.",0.1111,0.1111,0.0,khong_doi
utt_id_test_000457,đặt que cấy được không ạ hay là phải những cái có sở y tế ở tuyến cao hơn ạ,đặt que cấy được không ạ hay là phải những cái cơ sở y tế ở tuyến cao hơn ạ.,đặt que cấy được không ạ hay là phải những cái cơ sở y tế ở tuyến cao hơn ạ.,Đặt que cấy được không ạ hay là phải những cái có sở y tế ở tuyến cao hơn ạ?,0.05,0.05,0.0,khong_doi
utt_id_test_000512,tất cả những thắc mắc đó của mình nhá vâng xin cảm ơn câu hỏi của bạn xin phép bạn tên là gì nhỉ năm nay bạn,sẽ giải đáp tất cả những thắc mắc đó của mình nha vâng xin cảm ơn câu hỏi của bạn à xin phép bạn tên là gì nhở năm nay.,sẽ giải đáp tất cả những thắc mắc đó của mình nha vâng xin cảm ơn câu hỏi của bạn à xin phép bạn tên là gì nhở năm nay.,"Tất cả những thắc mắc đó của mình nhá, vâng, xin cảm ơn câu hỏi của bạn, xin phép bạn tên là gì nhỉ, năm nay bạn?",0.2593,0.2593,0.0,khong_doi
utt_id_test_000572,bệnh mãn tính đi kèm ví dụ như bệnh tim mạch hô hấp chẳng hạn như vậy thì họ cần,cũng có bệnh mãn tính đi kèm ví dụ như bệnh tim mạch hô hấp chẳng hạn như vậy thì họ cần.,cũng có bệnh mãn tính đi kèm ví dụ như bệnh tim mạch hô hấp chẳng hạn như vậy thì họ cần.,"bệnh mãn tính đi kèm, ví dụ như bệnh tim mạch, hô hấp chẳng hạn, như vậy thì họ cần.",0.1,0.1,0.0,khong_doi
utt_id_test_000637,phục hồi lại được và thứ hai thì bà con nhớ là khi mà mất răng thì cái xương nó sẽ tiêu rất là nhanh trong trong sáu tháng,đều có cách phục hồi lại được và thứ hai thì bà con nhớ là khi mất răng thì cái xương sẽ tiêu rất là nhanh trong xấu.,đều có cách phục hồi lại được và thứ hai thì bà con nhớ là khi mất răng thì cái xương sẽ tiêu rất là nhanh trong xấu.,"phục hồi lại được và thứ hai thì bà con nhớ là khi mà mất răng thì cái xương nó sẽ tiêu rất là nhanh, trong trong sáu tháng.",0.2759,0.2759,0.0,khong_doi
utt_id_test_000654,kiểm soát được thì thường là sẽ làm làm làm được và cái cái trồng implant thì mình thấy là nó không đau nhổ răng nó,kèm kiểm soát được thì thường là sẽ làm được và cái tròng im lan thì mình thấy là nó không đau nhổ răng.,kèm kiểm soát được thì thường là sẽ làm được và cái tròng im lan thì mình thấy là nó không đau nhổ răng.,"Kiểm soát được thì thường là sẽ làm, làm làm được và cái cái trồng implant thì mình thấy là nó không đau, nhổ răng nó.",0.2692,0.2692,0.0,khong_doi
utt_id_test_000667,mình ăn nhai lâu ngày thì cái hàm giả đó đó nó làm cấn xuống cái phần niêm mạc và cơ phần xương bên dưới thì khi mà cái,thì khi ăn nhai lâu ngày thì hầm giả đó nó làm cấn xuống phần niêm mạc phải có phần xương bên dưới.,thì khi ăn nhai lâu ngày thì hầm giả đó nó làm cấn xuống phần niêm mạc phải có phần xương bên dưới.,"Mình ăn nhai lâu ngày thì cái hàm giả đó đó, nó làm cấn xuống cái phần niêm mạc và cơ phần xương bên dưới thì khi mà cái.",0.4138,0.4138,0.0,khong_doi
utt_id_test_000701,mình ghép xương thì sau đó mình phải trồng implant và khi mà trồng implant rồi mình vẫn phải vệ sinh để giữ cái,và mình ghép xương thì sau đó mình phải trồng im lan và khi mà trồng im lan rồi mình vẫn phải vệ sinh để giữ cái.,và mình ghép xương thì sau đó mình phải trồng im lan và khi mà trồng im lan rồi mình vẫn phải vệ sinh để giữ cái.,Mình ghép xương thì sau đó mình phải trồng implant và khi mà trồng implant rồi mình vẫn phải vệ sinh để giữ cái.,0.2083,0.2083,0.0,khong_doi
utt_id_test_000788,định nhổ tại vì những răng đó trong cùng mà nhiều khi chịu chữa tủy nó sẽ khó còn,chỉ định nhổ tại vì những răng đó trong cùng nhiều khi chữa tủy nó sẽ khó.,chỉ định nhổ tại vì những răng đó trong cùng nhiều khi chữa tủy nó sẽ khó.,định nhổ tại vì những răng đó trong cùng mà nhiều khi chịu chữa tủy nó sẽ khó còn.,0.2105,0.2105,0.0,khong_doi
utt_id_test_000815,hàm nó sẽ bị teo nó bị tiêu đi và nó tiêu thì có thể là hiện giờ thì con anh đã chụp phim và như vậy cái xương hàm ở,đã là cái xương hàm nó sẽ bị teo tiêu đi và nó tiêu thì có thể là hiện giờ thì con anh đã chụp phim và như vậy.,đã là cái xương hàm nó sẽ bị teo tiêu đi và nó tiêu thì có thể là hiện giờ thì con anh đã chụp phim và như vậy.,"Hàm nó sẽ bị teo, nó bị tiêu đi và nó tiêu thì có thể là hiện giờ thì con anh đã chụp phim và như vậy cái xương hàm ở.",0.3226,0.3226,0.0,khong_doi
utt_id_test_000859,xương tức là sẽ làm cho cái xương nó đầy lại thì ngày nay thì với cái khoa học và về nha khoa và răng mặt rất phát triển,tôi phải tái tạo xương tức là sẽ làm cho cái xương ở đây lại thì ngày nay thì với cái khoa học và về nha khoa.,tôi phải tái tạo xương tức là sẽ làm cho cái xương ở đây lại thì ngày nay thì với cái khoa học và về nha khoa.,Xương tức là sẽ làm cho cái xương nó đầy lại thì ngày nay thì với cái khoa học và về nha khoa và răng mặt rất phát triển.,0.4138,0.4138,0.0,khong_doi
utt_id_test_000882,phải làm cái gì cái gì vậy đó thì bác sĩ có thể về giải thích cụ thể hơn dạ thì nó sẽ có hai trường hợp khi mà,bị phải làm cái gì cái gì vậy đó thì bác sĩ có thể giải thích cụ thể hơn dạ thì nó sẽ có hai trường hợp.,bị phải làm cái gì cái gì vậy đó thì bác sĩ có thể giải thích cụ thể hơn dạ thì nó sẽ có hai trường hợp.,"Phải làm cái gì, cái gì vậy đó thì bác sĩ có thể về giải thích cụ thể hơn, dạ thì nó sẽ có hai trường hợp khi mà.",0.1379,0.1379,0.0,khong_doi
utt_id_test_000896,giờ nghe nghe chú chú kể đó thì có thể là chú bị một cái bình mà rất là thường gặp trong trong nha khoa là bệnh lý về,thì nãy giờ nghe nghe chú chưa kể đó thì có thể là chú bị một cái cái bệnh mà rất là thường gặp trong trong nha khoa đó là bệnh lý.,thì nãy giờ nghe nghe chú chưa kể đó thì có thể là chú bị một cái cái bệnh mà rất là thường gặp trong trong nha khoa đó là bệnh lý.,Giờ nghe nghe chú chú kể đó thì có thể là chú bị một cái bình mà rất là thường gặp trong trong nha khoa là bệnh lý về.,0.2414,0.2414,0.0,khong_doi
utt_id_test_000903,hàm nhiều thì cái gương mặt của mình có vẻ là bị mớm đi thì những trường hợp đó là những cái trường hợp ảnh hưởng đến,tiêu thương hàm nhiều thì cái gương mặt của mình có vẻ là bị móm đi thì những trường hợp đó là những trường hợp ảnh hưởng.,tiêu thương hàm nhiều thì cái gương mặt của mình có vẻ là bị móm đi thì những trường hợp đó là những trường hợp ảnh hưởng.,"Hà nhiều thì cái gương mặt của mình có vẻ là bị mớm đi, thì những trường hợp đó là những cái trường hợp ảnh hưởng đến.",0.1852,0.1852,0.037,khong_doi
utt_id_test_000915,những cái thủ tục làm thì càng ngày nó sẽ càng nhẹ nhàng hơn và ít xâm lấn hơn họ chẳng hạn những cái ca hiện giờ,phương pháp vô cảm những cái thủ tục làm thì càng ngày sẽ càng nhẹ nhàng hơn và ít xâm lấn hơn.,phương pháp vô cảm những cái thủ tục làm thì càng ngày sẽ càng nhẹ nhàng hơn và ít xâm lấn hơn.,"Những cái thủ tục làm thì càng ngày nó sẽ càng nhẹ nhàng hơn và ít xâm lấn hơn họ, chẳng hạn những cái của hiện giờ.",0.4815,0.4815,0.037,khong_doi
utt_id_test_000934,là mười implant thì giữ một cái hàm răng giả tuy nhiên ngày nay đó thì thông thường thì có một số trường hợp là chọn,hay là mười em lan để giữ một cái hàm răng giả tuy nhiên ngày nay thì thông thường thì có một số trường hợp.,hay là mười em lan để giữ một cái hàm răng giả tuy nhiên ngày nay thì thông thường thì có một số trường hợp.,"là mười implant thì giữ một cái hàm răng giả, tuy nhiên ngày nay đó thì thông thường thì có một số trường hợp là chọn.",0.2692,0.2692,0.0,khong_doi
utt_id_test_000953,phải phải phải nhổ đi thì như vậy răng của cô lý đã nhổ lâu rồi nhưng mà vẫn,thì khi đó bắt buộc phải nhổ đi thì như vậy răng của cô lý đã nhổ lâu rồi.,thì khi đó bắt buộc phải nhổ đi thì như vậy răng của cô lý đã nhổ lâu rồi.,"Phải, phải phải nhổ đi thì như vậy, răng của cô Lý đã nhổ lâu rồi nhưng mà vẫn...",0.4211,0.4211,0.0,khong_doi
utt_id_test_000954,thì lúc nãy thì tôi có khám trên chân răng của cô ha thì cái này là mình cái,à thì lúc nãy thì tôi có khám trên chân răng của cô ha thì cái này là mình.,à thì lúc nãy thì tôi có khám trên chân răng của cô ha thì cái này là mình.,thì lúc nãy thì tôi có khám trên chân răng của cô ta thì cái này là mình cái.,0.1053,0.1053,0.0526,khong_doi
utt_id_test_001004,đối với người lớn tuổi mà bị sốt và cái thời điểm này thì ở nhiệt độ bao nhiêu là nên có thể uống thuốc hạ sốt tại nhà,ờ đối với người lớn tuổi mà bị sốt ở cái thời điểm này thì ở nhiệt độ bao nhiêu là nên có thể uống thuốc hạ sốt.,ờ đối với người lớn tuổi mà bị sốt ở cái thời điểm này thì ở nhiệt độ bao nhiêu là nên có thể uống thuốc hạ sốt.,Đối với người lớn tuổi mà bị sốt vào cái thời điểm này thì ở nhiệt độ bao nhiêu là nên có thể uống thuốc hạ sốt tại nhà.,0.1379,0.1379,0.0345,khong_doi
utt_id_test_001084,còn nếu như viêm phổi mà nó chỉ sốt ở dạng thấp thì làm sao phân biệt ở cái nhiệt độ bao nhiêu thì đưa đi cấp cứu,tại nhà còn nếu như viêm phổi mà nó chỉ sốt ở dạng thấp thì làm sao phân biệt ở cái nhiệt độ bao nhiêu thì đưa đi cấp cứu.,tại nhà còn nếu như viêm phổi mà nó chỉ sốt ở dạng thấp thì làm sao phân biệt ở cái nhiệt độ bao nhiêu thì đưa đi cấp cứu.,Còn nếu như viêm phổi mà nó chỉ sốt ở dạng thấp thì làm sao phân biệt ở cái nhiệt độ bao nhiêu thì đưa đi cấp cứu?,0.0714,0.0714,0.0,khong_doi
utt_id_test_001094,thì chúng ta nên lo và hỏi ý kiến bác sĩ đa số trẻ bình thường sẽ có các giá trị,thì chúng ta nên lo và hỏi ý kiến bác sĩ đa số trẻ bình thường sẽ có các giá trị.,thì chúng ta nên lo và hỏi ý kiến bác sĩ đa số trẻ bình thường sẽ có các giá trị.,"thì chúng ta nên lo và hỏi ý kiến bác sĩ, đa số trẻ bình thường sẽ có các giá trị.",0.0,0.0,0.0,khong_doi
utt_id_test_001127,thú thỏa mãn và được quan tâm quan tâm kiểu gì không cần biết nhé miễn quan tâm,thú thỏa mãn và được quan tâm quan tâm kiểu gì không cần biết nhé miễn quan tâm là được.,thú mãn và được quan tâm quan tâm kiểu gì không cần biết nhé miễn quan tâm là được.,"Thú mãn và được quan tâm, quan tâm kiểu gì không cần biết nhé, miễn quan tâm.",0.1111,0.1667,0.0556,xau_di
utt_id_test_001139,nên sẽ không cảm thấy lo sợ nhiều mặc dù vẫn có thể khóc lóc khi chia tay,nên sẽ không cảm thấy lo sợ nhiều mặc dù vẫn có thể khóc lóc khi chia tay.,nên sẽ không cảm thấy lo sợ nhiều mặc dù vẫn có thể khóc lóc khi chia tay.,nên sẽ không cảm thấy lo sợ nhiều mặc dù vẫn có thể khóc lóc khi chia tay.,0.0,0.0,0.0,khong_doi
utt_id_test_001140,được sự đột ngột cũng như sự khó chịu dùm cho bé cũng như nếu được huấn luyện,cũng như nếu được huấn luyện bằng cách ăn uống và ăn nghỉ ngơi.,cũng như nếu được huấn luyện bằng cách ăn uống và ăn nghỉ ngơi.,được sự đột ngột cũng như sự khó chịu dùm cho bé cũng như nếu được huấn luyện.,0.8889,0.8889,0.0,khong_doi
utt_id_test_001186,và trẻ chỉ cần vài phút thôi tắt hết điện thoại bỏ cả tivi ipad mà bạn thường,và trẻ chỉ cần vài phút thôi tắt hết điện thoại bỏ cả tivi ipad mà bạn thường thấy.,và trẻ chỉ cần vài phút thôi tắt hết điện thoại bỏ cả tivi ipad mà bạn thường thấy.,"Và trẻ chỉ cần vài phút thôi tắt hết điện thoại, bỏ cả tivi, ipad mà bạn thường.",0.0556,0.0556,0.0,khong_doi
utt_id_test_001201,tuổi không nên đo đạc quá thường xuyên nhưng mỗi ngày hoặc vài lần một tuần một,hai tháng tuổi không nên đo đạc quá thường xuyên như mỗi ngày hoặc vài lần một tuần.,hai tháng tuổi không nên đo đạc quá thường xuyên như mỗi ngày hoặc vài lần một tuần.,Tuổi không nên đo đạc quá thường xuyên nhưng mỗi ngày hoặc vài lần một tuần một.,0.2353,0.2353,0.0,khong_doi
utt_id_test_001379,có thói quen ăn uống khỏe mạnh hợp lý hay không trẻ có thể thiết lập được một,thói quen ăn uống khỏe mạnh hợp lý hay không chả có thể thiết lập được.,thói quen ăn uống mạnh hợp lý hay không chả có thể thiết lập được.,"Có thói quen ăn uống lành mạnh, hợp lý hay không trẻ có thể thiết lập được một.",0.1667,0.2222,0.0556,xau_di
utt_id_test_001394,lý như khi trẻ đi tè đi cầu bị bệnh hoặc đơn giản là do sai số của bạn cân biểu,chế độ sinh lý như khi trẻ đi tè đi cầu bị bệnh hoặc đơn giản là do sai số của bàn cân.,chế độ sinh lý như khi trẻ đi tè đi cầu bị bệnh hoặc đơn giản là do sai số của bàn cân.,"lý như khi trẻ đi tè, đi cầu bị bệnh hoặc đơn giản là do sai số của bạn cân biểu.",0.2381,0.2381,0.0,khong_doi
utt_id_test_001409,bà nhớ rằng đây là thời điểm vàng để chúng ta có thể thiết lập các thói quen khỏe mạnh cho con trẻ hãy linh động mở,và nhớ rằng đây là thời điểm vàng để chúng ta có thể thiết lập các thói quen khỏe mạnh cho con trẻ hãy linh động mở lòng.,và nhớ rằng đây là thời điểm vàng để chúng ta có thể thiết lập các thói quen mạnh cho con trẻ hãy linh động mở lòng.,"Bà nhớ rằng đây là thời điểm vàng để chúng ta có thể thiết lập các thói quen mạnh cho con trẻ, hãy linh động mở.",0.0741,0.1111,0.037,xau_di
utt_id_test_001456,thì các bạn sẽ thấy các đường tô đậm đây là những đường tham khảo cung tăng,các bạn sẽ thấy các đường tu đậm đây là những đường tham khảo cung tăng.,các bạn sẽ thấy các đường tu đậm đây là những đường tham khảo cung tăng.,"thì các bạn sẽ thấy các đường tô đậm, đây là những đường tham khảo cung tăng.",0.1176,0.1176,0.0,khong_doi
utt_id_test_001471,sợ khi bị tiếp cận bạn nên bồng con lên vỗ về thủ thỉ trấn an cho bé đồng thời,khi bị tiếp cận bạn nên bồng con lên vỗ về thủ thỉ trấn an cho bé.,khi bị tiếp cận bạn nên bồng con lên vỗ về thủ thỉ trấn an cho bé.,"Sợ khi bị tiếp cận, bạn nên bồng con lên, vỗ về thủ thỉ trấn an cho bé đồng thời.",0.15,0.15,0.0,khong_doi
utt_id_test_001482,rất là lắng liệu mẹ tôi có nguy cơ cao thuyên tắc huyết khối tĩnh mạch hay không và tôi cần phải chú ý gì để đề,tây tôi rất là lắng liệu mẹ tôi có nguy cơ cao thuyên tắc huyết khối tĩnh mạch hay không và tôi cần phải chú ý gì để.,tây tôi rất là lắng liệu mẹ tôi có nguy cơ cao thuyên tắc huyết khối tĩnh mạch hay không và tôi cần phải chú ý gì để.,"Rất là lắng, liệu mẹ tôi có nguy cơ cao thuyên tắc huyết khối tĩnh mạch hay không và tôi cần phải chú ý gì để đề.",0.1111,0.1111,0.0,khong_doi
utt_id_test_001495,động nhiễm khuẩn ung thư tuổi cao suy tim suy hô hấp và tiền sử bị thuyên tắc,như bất động nhiễm khuẩn ung thư tủi cao suy tim suy hô hấp và tiền sử bị thuyền tắc huyết khuẩn.,như bất động nhiễm khuẩn ung thư tủi cao suy tim suy hô hấp và tiền sử bị thuyền tắc huyết khuẩn.,"động nhiễm khuẩn, ung thư, tuổi cao, suy tim, suy hô hấp và tiền sử bị thuyên tắc.",0.3333,0.3333,0.0,khong_doi
utt_id_test_001517,bây giờ chúng ta sang cái phần thứ hai là nhận biết bệnh nhân có nguy cơ bị thuyên tắc huyết khối tĩnh mạch như thế,bây giờ chúng ta sang cái phần thứ hai là nhận biết bệnh nhân có nguy cơ bị thuyên tắc các khối tĩnh mạch như thế nào.,Bây giờ chúng ta sang cái phần thứ hai là nhận biết bệnh nhân có nguy cơ bị thuyên tắc các khối tĩnh mạch như thế nào.,Bây giờ chúng ta sang cái phần thứ hai là nhận biết bệnh nhân có nguy cơ bị thuyên tắc huyết khối tĩnh mạch như thế.,0.0769,0.0769,0.0,khong_doi
utt_id_test_001551,thực tế có nhiều người bệnh bình thường đạt được mức thở tốt nhưng sức cơn chưa đủ khi đó các buổi tập,thực tế có nhiều người bệnh bình thường đạt được mức thở tốt nhưng sức cơn chưa đủ khi đó các tai phục lại.,thực tế có nhiều người bệnh bình thường đạt được mức thở tốt nhưng sức cơn chưa đủ khi đó các tai phục lại.,"Thực tế có nhiều người bệnh bình thường đạt được mức thở tốt nhưng sức cơn chưa đủ, khi đó các buổi tập.",0.1304,0.1304,0.0,khong_doi
utt_id_test_001557,hoang mang căng thẳng người bệnh không cần nhịn ăn được nạp đường trước phẫu thuật trong phẫu thuật tùy tình trạng,người bệnh không cần nhịn ăn được nạp đường trước phẫu thuật trong phẫu thuật tùy tình trạng bệnh.,người bệnh không cần nhịn ăn được nạp đường trước phẫu thuật trong phẫu thuật tình trạng bệnh.,"hoang mang, căng thẳng, người bệnh không cần nhịn ăn, được nạp đường trước phẫu thuật, trong phẫu thuật tình trạng.",0.2273,0.2727,0.0455,xau_di
utt_id_test_001719,khác nhau khá lớn giữa hai trẻ cùng độ tuổi vì vậy không nên đánh đồng hoặc so,khác nhau khá lớn giữa hai trẻ cùng độ tuổi vì vậy không nên đánh đồng hoặc so sánh.,khác nhau khá lớn giữa hai trẻ cùng độ tuổi vì vậy không nên đánh đồng hoặc so sánh.,khác nhau khá lớn giữa hai trẻ cùng độ tuổi vì vậy không nên đánh đồng hoặc so.,0.0556,0.0556,0.0,khong_doi
utt_id_test_001729,trong suốt cuộc đời nghiên cứu cho thấy trẻ được bú mẹ có ích nguy cơ bị,unk đường ở trẻ trong suốt cuộc đời nghiên cứu cho thấy trẻ được bú mẹ có ít nguy cơ bị ung thư.,unk đường ở trẻ trong suốt cuộc đời nghiên cứu cho thấy trẻ được bú mẹ có ít nguy cơ bị ung thư.,"Trong suốt cuộc đời, nghiên cứu cho thấy trẻ được bú mẹ có ích nguy cơ bị.",0.4118,0.4118,0.0,khong_doi
utt_id_test_001732,đường ruột mãn tính trẻ bú mẹ ít nguy cơ bị bệnh viêm đường ruột mãn tính khởi,ruột mãn tính trẻ bú mẹ ít nguy cơ bị bệnh viêm đường ruột mãn tính.,ruột mãn tính trẻ bú mẹ ít nguy cơ bị bệnh viêm đường ruột mãn tính.,đường ruột mãn tính: trẻ bú mẹ ít nguy cơ bị bệnh viêm đường ruột mãn tính khởi.,0.1111,0.1111,0.0,khong_doi
